Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-19,4.42,4.78,4.42,4.68,32,44,3,1
2022-12-20,4.645,4.77,4.53,4.6,32,44,3,1
2022-12-21,4.6,4.63,4.5,4.575,32,44,3,1
2022-12-22,4.58,4.6,4.48,4.48,32,44,3,1
2022-12-23,4.49,4.635,4.44,4.51,32,44,3,1
2022-12-27,4.52,4.58,4.36,4.365,32,44,3,1
2022-12-28,4.37,4.375,4.23,4.25,32,44,3,1
2022-12-29,4.37,4.46,4.3,4.45,32,44,3,1
2022-12-30,4.45,4.52,4.38,4.5,32,44,3,1
2023-01-02,4.55,4.615,4.43,4.495,32,44,3,1
2023-01-03,4.51,4.575,4.415,4.57,32,44,3,1
2023-01-04,4.57,4.685,4.53,4.615,32,44,3,1
2023-01-05,4.65,4.785,4.56,4.685,32,44,3,1
2023-01-09,4.72,4.79,4.64,4.76,32,44,3,1
2023-01-10,4.75,4.87,4.715,4.865,32,44,3,1
2023-01-11,4.865,4.865,4.785,4.8,32,44,3,1
2023-01-12,4.7,4.84,4.67,4.795,32,44,3,1
2023-01-13,4.79,5.07,4.75,5.01,32,44,3,1
2023-01-16,5.03,5.04,4.935,4.98,32,44,3,1
2023-01-17,4.995,5.0,4.855,4.94,32,44,3,1
2023-01-18,4.94,5.65,4.885,5.6,32,44,3,1
2023-01-19,5.56,5.59,5.32,5.34,32,44,3,1
2023-01-20,5.4,5.77,5.34,5.68,32,44,3,1
2023-01-23,5.68,5.84,5.57,5.66,32,44,3,1
2023-01-24,5.67,6.09,5.67,6.09,32,44,3,1
2023-01-25,6.07,6.2,5.79,6.2,32,44,3,1
2023-01-26,6.15,6.54,6.11,6.34,32,44,3,1
2023-01-27,6.38,6.95,6.29,6.54,32,44,3,1
2023-01-30,6.85,7.53,6.71,6.9,32,44,3,1
2023-01-31,6.9,7.3,6.9,7.15,32,44,3,1
2023-02-01,7.28,7.42,7.0,7.14,32,44,3,1
2023-02-02,7.12,7.13,6.56,6.8,32,44,3,1
2023-02-03,6.71,6.97,6.52,6.68,32,44,3,1
2023-02-06,6.67,7.2,6.48,7.08,32,44,3,1
2023-02-07,7.08,7.18,6.9,7.02,32,44,3,1
2023-02-08,7.0,7.05,6.76,6.82,32,44,3,1
2023-02-09,6.82,7.1,6.82,6.93,32,44,3,1
2023-02-10,6.95,6.95,6.64,6.84,32,44,3,1
2023-02-13,6.93,6.93,6.64,6.75,32,44,3,1
2023-02-14,6.76,6.82,6.68,6.71,32,44,3,1
2023-02-15,6.71,7.05,6.64,6.95,32,44,3,1
2023-02-16,7.0,7.46,6.8,7.21,32,44,3,1
2023-02-17,7.25,7.72,7.14,7.61,32,44,3,1
2023-02-20,7.62,7.74,7.37,7.4,32,44,3,1
2023-02-21,7.4,7.5,7.14,7.4,32,44,3,1
2023-02-22,7.4,7.5,7.25,7.41,32,44,3,1
2023-02-23,7.45,7.84,7.41,7.59,32,44,3,1
2023-02-24,7.6,7.76,7.54,7.7,32,44,3,1
2023-02-27,7.7,8.47,7.6,8.21,32,44,3,1
2023-02-28,8.32,8.59,8.0,8.1,32,44,3,1
2023-03-01,8.3,8.73,8.14,8.72,32,44,3,1
2023-03-02,8.7,8.76,8.09,8.15,32,44,3,1
2023-03-03,8.19,8.3,7.9,8.05,32,44,3,1
2023-03-06,8.15,8.4,7.98,8.1,32,44,3,1
2023-03-07,8.1,8.78,7.94,8.7,32,44,3,1
2023-03-08,8.7,9.24,8.6,9.0,32,44,3,1
2023-03-09,8.97,8.97,8.39,8.62,32,44,3,1
2023-03-10,8.51,8.58,8.27,8.55,32,44,3,1
2023-03-13,8.48,8.48,7.82,8.15,32,44,3,1
2023-03-14,8.19,8.72,8.19,8.56,32,44,3,1
2023-03-15,8.66,8.72,8.14,8.16,32,44,3,1
2023-03-16,8.14,8.43,8.08,8.26,32,44,3,1
2023-03-17,8.3,8.59,8.13,8.3,32,44,3,1
2023-03-20,8.29,8.31,8.08,8.28,32,44,3,1
2023-03-21,8.25,8.67,8.16,8.56,32,44,3,1
2023-03-22,8.65,9.69,8.45,9.57,32,44,3,1
2023-03-23,9.5,10.3,9.32,10.08,32,44,3,1
2023-03-24,10.2,10.3,9.6,10.26,32,44,3,1
2023-03-27,10.0,10.34,9.92,10.14,32,44,3,1
2023-03-28,10.3,11.2,10.26,10.88,32,44,3,1
2023-03-29,10.98,10.98,10.6,10.78,32,44,3,1
2023-03-30,10.84,10.96,10.34,10.48,32,44,3,1
2023-03-31,10.6,10.68,10.36,10.36,32,44,3,1
2023-04-03,10.5,10.68,10.2,10.2,32,44,3,1
2023-04-04,10.2,10.2,9.75,9.9,32,44,3,1
2023-04-05,9.95,10.5,9.61,10.38,32,44,3,1
2023-04-06,10.28,10.44,10.14,10.26,32,44,3,1
