Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-28,18.2,18.2,17.7,17.72,70,95,2,1
2023-03-29,17.72,18.5,17.72,18.5,70,95,2,1
2023-03-30,18.26,18.48,18.24,18.48,70,95,2,1
2023-03-31,18.5,19.24,18.48,19.0,70,95,2,1
2023-04-03,19.0,19.44,19.0,19.28,70,95,2,1
2023-04-04,19.08,19.24,18.98,19.18,70,95,2,1
2023-04-05,19.1,19.1,18.6,18.8,70,95,2,1
2023-04-06,18.62,19.0,18.52,18.98,70,95,2,1
2023-04-11,18.84,19.24,18.84,19.24,70,95,2,1
2023-04-12,19.24,19.44,18.94,19.44,70,95,2,1
2023-04-13,19.4,19.44,19.0,19.36,70,95,2,1
2023-04-14,19.4,19.4,18.8,19.34,70,95,2,1
2023-04-17,19.36,19.54,18.92,19.42,70,95,2,1
2023-04-18,19.42,19.42,19.06,19.06,70,95,2,1
2023-04-19,19.06,19.26,19.0,19.18,70,95,2,1
2023-04-20,18.8,19.3,18.65,19.2,70,95,2,1
2023-04-21,19.2,19.3,19.0,19.3,70,95,2,1
2023-04-24,19.3,19.4,19.0,19.3,70,95,2,1
2023-04-25,19.4,19.4,19.0,19.2,70,95,2,1
2023-04-26,19.2,19.2,18.8,18.95,70,95,2,1
2023-04-27,18.95,18.95,18.1,18.2,70,95,2,1
2023-04-28,18.2,18.45,18.1,18.45,70,95,2,1
2023-05-02,18.25,19.6,18.25,19.6,70,95,2,1
2023-05-04,19.3,20.9,19.3,20.0,70,95,2,1
2023-05-05,20.0,20.8,19.65,20.7,70,95,2,1
2023-05-08,20.6,20.7,20.3,20.6,70,95,2,1
2023-05-09,20.6,20.8,20.1,20.5,70,95,2,1
2023-05-10,20.6,20.8,20.4,20.7,70,95,2,1
2023-05-11,20.7,20.9,20.6,20.8,70,95,2,1
2023-05-12,20.7,20.7,20.5,20.7,70,95,2,1
2023-05-15,20.8,20.8,19.7,20.3,70,95,2,1
2023-05-16,20.3,20.3,20.0,20.0,70,95,2,1
2023-05-17,19.9,20.0,19.7,19.95,70,95,2,1
2023-05-18,19.9,20.0,19.75,19.85,70,95,2,1
2023-05-19,21.0,21.8,20.3,20.6,70,95,2,1
2023-05-22,20.6,20.7,20.1,20.3,70,95,2,1
2023-05-23,20.3,21.1,20.3,20.4,70,95,2,1
2023-05-24,20.3,20.8,20.3,20.8,70,95,2,1
2023-05-25,20.8,20.8,20.1,20.1,70,95,2,1
2023-05-26,20.3,20.4,19.9,19.95,70,95,2,1
2023-05-29,20.2,20.2,19.8,20.0,70,95,2,1
2023-05-30,20.1,20.6,20.0,20.3,70,95,2,1
2023-05-31,20.1,20.1,19.5,19.55,70,95,2,1
2023-06-01,19.5,19.7,19.3,19.45,70,95,2,1
2023-06-02,19.35,20.0,19.3,19.85,70,95,2,1
2023-06-05,19.85,19.85,19.4,19.5,70,95,2,1
2023-06-06,19.5,20.9,19.5,20.9,70,95,2,1
2023-06-07,20.9,20.9,20.6,20.9,70,95,2,1
2023-06-09,20.6,21.3,20.6,21.3,70,95,2,1
2023-06-12,21.2,21.4,21.0,21.3,70,95,2,1
2023-06-13,21.3,21.3,20.4,20.4,70,95,2,1
2023-06-14,20.4,20.7,20.2,20.4,70,95,2,1
2023-06-15,20.4,20.4,19.95,20.3,70,95,2,1
2023-06-16,20.1,20.3,19.9,20.3,70,95,2,1
2023-06-19,20.3,20.7,20.2,20.6,70,95,2,1
2023-06-20,20.5,20.5,19.9,20.1,70,95,2,1
2023-06-21,20.0,20.4,19.7,20.4,70,95,2,1
2023-06-22,20.2,20.6,19.9,20.6,70,95,2,1
2023-06-23,20.6,20.6,20.1,20.1,70,95,2,1
2023-06-26,20.1,20.3,20.0,20.3,70,95,2,1
2023-06-27,20.3,21.0,20.1,21.0,70,95,2,1
2023-06-28,21.0,21.5,20.7,21.5,70,95,2,1
