Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-06-05,21.45,22.0,21.4,21.55,33,44,2,1
2023-06-06,21.6,21.85,21.5,21.55,33,44,2,1
2023-06-07,21.75,22.0,21.3,21.95,33,44,2,1
2023-06-09,21.9,22.0,21.5,21.7,33,44,2,1
2023-06-12,21.75,21.95,21.4,21.4,33,44,2,1
2023-06-13,21.4,21.4,20.6,20.7,33,44,2,1
2023-06-14,20.7,21.0,20.5,20.55,33,44,2,1
2023-06-15,20.55,20.55,19.2,20.0,33,44,2,1
2023-06-16,20.1,20.2,20.0,20.2,33,44,2,1
2023-06-19,20.2,20.7,20.0,20.55,33,44,2,1
2023-06-20,20.55,20.55,20.05,20.2,33,44,2,1
2023-06-21,20.3,20.4,20.1,20.1,33,44,2,1
2023-06-22,20.0,20.35,20.0,20.35,33,44,2,1
2023-06-23,20.3,20.3,20.15,20.15,33,44,2,1
2023-06-26,20.1,20.35,20.0,20.15,33,44,2,1
2023-06-27,20.2,20.25,20.0,20.0,33,44,2,1
2023-06-28,20.1,20.15,19.6,19.78,33,44,2,1
2023-06-29,19.8,19.96,19.5,19.6,33,44,2,1
2023-06-30,19.52,19.78,18.48,19.1,33,44,2,1
2023-07-03,19.22,19.22,18.76,19.08,33,44,2,1
2023-07-04,19.0,19.1,18.76,18.98,33,44,2,1
2023-07-05,18.82,22.9,18.82,21.35,33,44,2,1
2023-07-06,21.35,21.35,19.72,19.8,33,44,2,1
2023-07-07,19.8,20.4,19.64,20.0,33,44,2,1
2023-07-10,20.0,20.2,19.68,20.1,33,44,2,1
2023-07-11,20.1,20.35,19.9,20.05,33,44,2,1
2023-07-12,20.25,22.1,20.1,21.4,33,44,2,1
2023-07-13,21.75,22.85,21.45,21.55,33,44,2,1
2023-07-14,21.7,21.75,20.65,20.7,33,44,2,1
2023-07-17,20.85,21.9,20.75,21.25,33,44,2,1
2023-07-18,21.25,21.45,20.9,21.05,33,44,2,1
2023-07-19,21.25,21.3,20.75,20.95,33,44,2,1
2023-07-20,21.2,21.25,20.8,21.15,33,44,2,1
2023-07-21,21.15,21.4,20.9,21.2,33,44,2,1
2023-07-24,21.2,21.3,21.0,21.3,33,44,2,1
2023-07-25,21.1,21.8,21.05,21.5,33,44,2,1
2023-07-26,21.55,21.75,21.05,21.2,33,44,2,1
2023-07-27,21.0,21.0,20.2,20.85,33,44,2,1
2023-07-28,20.85,20.95,20.7,20.7,33,44,2,1
2023-07-31,20.7,20.7,20.4,20.5,33,44,2,1
2023-08-01,20.65,20.65,20.3,20.4,33,44,2,1
2023-08-02,20.4,20.9,20.2,20.4,33,44,2,1
2023-08-03,20.35,20.5,20.05,20.3,33,44,2,1
2023-08-04,20.3,20.65,20.15,20.2,33,44,2,1
2023-08-07,20.1,20.45,20.1,20.2,33,44,2,1
2023-08-08,20.0,20.2,19.9,20.0,33,44,2,1
2023-08-09,20.0,20.2,19.88,20.2,33,44,2,1
2023-08-10,20.2,20.5,19.8,20.05,33,44,2,1
2023-08-11,20.05,20.4,19.86,19.88,33,44,2,1
2023-08-14,19.88,19.9,19.52,19.88,33,44,2,1
2023-08-16,19.88,20.1,19.44,19.6,33,44,2,1
2023-08-17,19.72,20.0,19.5,19.56,33,44,2,1
2023-08-18,19.56,19.7,19.42,19.42,33,44,2,1
2023-08-21,19.44,19.88,19.4,19.46,33,44,2,1
2023-08-22,19.68,19.68,19.3,19.3,33,44,2,1
2023-08-23,19.3,19.9,19.3,19.6,33,44,2,1
2023-08-24,19.7,19.9,19.6,19.6,33,44,2,1
2023-08-25,19.62,20.0,19.6,19.9,33,44,2,1
2023-08-28,19.9,20.0,19.8,19.84,33,44,2,1
2023-08-29,19.9,19.92,19.6,19.6,33,44,2,1
2023-08-30,19.6,19.78,19.6,19.64,33,44,2,1
2023-08-31,19.78,19.9,19.5,19.6,33,44,2,1
